City_ID,city_id,city_name,latitude,longitude,temp,humidity,cloudiness,wind_speed,country,date
219,3464724,Kamenka,51.32,42.77,27.0,96,100,10.85,RU,1609466714
220,3464724,Esim,4.87,-2.24,78.96,87,99,5.66,GH,1609466714
221,3464724,Ciudad del Maíz,22.4,-99.6,64.0,32,37,7.0,MX,1609466714
222,3464724,Trincomalee,8.57,81.23,78.96,77,29,16.13,LK,1609466715
223,3464724,Namie,37.48,141.0,36.0,71,11,4.43,JP,1609466532
224,3464724,Necochea,-38.55,-58.74,55.99,76,2,5.28,AR,1609466715
225,3464724,Elizabeth City,36.29,-76.25,54.0,100,90,18.34,US,1609466715
226,3464724,Ware,51.81,-0.03,33.01,95,37,5.37,GB,1609466715
227,3464724,Benjamín Aceval,-24.97,-57.57,78.8,78,0,6.93,PY,1609466715
228,3464724,Nyurba,63.28,118.33,-26.84,84,16,5.82,RU,1609466715
229,3464724,Abéché,13.83,20.83,71.19,27,35,8.75,TD,1609466444
230,3464724,Mahébourg,-20.41,57.7,77.0,69,40,14.99,MU,1609466716
231,3464724,Tra Vinh,9.93,106.35,75.24,68,99,5.73,VN,1609466460
232,3464724,Litovko,49.24,135.17,-10.08,69,0,2.95,RU,1609466428
233,3464724,Telde,27.99,-15.42,64.4,52,75,12.75,ES,1609466717
234,3464724,Dulce Nombre de Culmí,15.1,-85.53,75.2,83,75,3.36,HN,1609466718
235,3464724,Muncar,-8.43,114.33,82.83,77,38,0.81,ID,1609466718
236,3464724,George Town,5.41,100.34,80.6,78,20,3.36,MY,1609466549
237,3464724,Urubichá,-15.38,-62.95,71.89,99,100,1.12,BO,1609466718
238,3464724,Gloucester,51.87,-2.24,30.0,93,50,2.35,GB,1609466718
239,3464724,Palmer,42.16,-72.33,34.0,64,90,4.7,US,1609466718
240,3464724,Bubaque,11.28,-15.83,78.44,77,0,12.08,GW,1609466718
241,3464724,Aswān,24.09,32.91,53.91,48,0,8.66,EG,1609466719
242,3464724,Nahrin,36.06,69.13,28.45,64,0,3.58,AF,1609466719
243,3464724,Tiksi,71.69,128.87,-15.83,88,100,13.11,RU,1609466423
244,3464724,Mossamedes,-15.2,12.15,69.78,79,100,4.56,AO,1609466719
245,3464724,Leningradskiy,69.38,178.42,-9.85,89,100,11.83,RU,1609466720
246,3464724,Shulan,44.42,126.95,-7.74,86,100,2.48,CN,1609466720
247,3464724,Kenitra,34.26,-6.58,42.8,100,40,6.93,MA,1609466721
248,3464724,Hithadhoo,-0.6,73.08,82.53,79,100,13.71,MV,1609466505
249,3464724,Erzin,36.96,36.2,48.2,76,40,4.7,TR,1609466721
250,3464724,East London,-33.02,27.91,68.04,71,28,22.93,ZA,1609466721
251,3464724,Henties Bay,-22.12,14.28,61.0,89,94,3.6,NA,1609466721
